model,location,asof,replicate,horizon,y,q50,w95,c95,r_star,w_shrink,clipped
member,Pennsylvania,2026-01-07,1,1,873.0,1029.0320723867192,1062.823545665401,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,1,2,882.0,1129.1940056620658,1185.100179471805,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,1,3,734.0,1201.9431993041596,1361.1479564049737,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,1,4,694.0,1242.0079726142983,1561.524539762654,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,1,1,873.0,1066.9881734173769,1219.866913679748,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,1,2,882.0,1246.2253171732602,1865.2260648149008,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,1,3,734.0,1409.6474188330362,2659.141178039491,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,1,4,694.0,1505.592007549421,3231.645701918577,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,2,1,873.0,1026.8825565098841,1091.2208604226312,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,2,2,882.0,1120.7147408316291,1210.3561056850713,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,2,3,734.0,1190.298158418541,1379.0431786230401,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,2,4,694.0,1219.8183961826855,1614.1507865303336,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,2,1,873.0,1062.094450236127,1307.8949583071585,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,2,2,882.0,1235.0671313073533,1965.9821799802785,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,2,3,734.0,1380.0899584249971,2645.321837772819,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,2,4,694.0,1446.0094252966535,3079.810227817281,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-02-04,0,1,612.0,644.8709298583694,645.8045353712293,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,0,2,524.0,615.7242211642058,659.4442842054511,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,0,3,549.0,586.5775124700423,657.645385778233,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,0,4,501.0,542.8574494287968,717.7604724599454,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,0,1,612.0,633.6877443765845,717.4510669091217,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,0,2,524.0,591.806083110316,868.6119975989523,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,0,3,549.0,547.193009152769,995.2129758397049,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,0,4,501.0,496.66187436411906,1138.1113831384193,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,1,1,612.0,627.7642079864323,680.1558557468499,1.0,0.975339411588088,0.4216999966597206,False
