season,asof,location,gamma,g_raw,w,g_hat,r_star_raw,r_star,clipped_low,clipped_high,reason
2023-24,2023-09-23,Alaska,2.1875,0.0,0.13043478260869565,0.0,1.0,1.0,False,False,ok
2023-24,2023-09-23,California,2.1875,0.21825356602001778,0.3424687448818038,0.07474502482085339,1.0341691542038187,1.0341691542038187,False,False,ok
2023-24,2023-09-23,New York,2.1875,0.4595323293784399,0.24118476727785612,0.11083219791779016,1.0506661476195611,1.0506661476195611,False,False,ok
2023-24,2023-09-23,Pennsylvania,2.1875,0.020202707317519497,0.3481762198010421,0.00703410226356079,1.0032155896061992,1.0032155896061992,False,False,ok
2023-24,2023-09-23,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-09-23,Wyoming,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-09-30,Alaska,2.1875,0.18232155679395468,0.13846153846153847,0.025244523248393727,1.01154035348498,1.01154035348498,False,False,ok
2023-24,2023-09-30,California,2.1875,-0.0816780310142673,0.34740808734721484,-0.028375608532953095,0.9870282932420786,0.9870282932420786,False,False,ok
2023-24,2023-09-30,New York,2.1875,0.9267620317414509,0.3018534863195057,0.27974635026970535,1.1278840458375796,1.1278840458375796,False,False,ok
2023-24,2023-09-30,Pennsylvania,2.1875,0.1625189294977747,0.3549883990719257,0.0576923346012982,1.0263736386748792,1.0263736386748792,False,False,ok
2023-24,2023-09-30,Vermont,2.1875,0.0,0.03448275862068965,0.0,1.0,1.0,False,False,ok
2023-24,2023-09-30,Wyoming,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-10-07,Alaska,2.1875,0.4054651081081646,0.1656441717791411,0.06716293201791683,1.030703054636762,1.030703054636762,False,False,ok
2023-24,2023-10-07,California,2.1875,-0.04348511193973881,0.3432512848255342,-0.014926320544097522,0.9931765391798412,0.9931765391798412,False,False,ok
2023-24,2023-10-07,New York,2.1875,-0.2602830982636668,0.3365336028297119,-0.08759400881435171,0.9599570245420106,0.9599570245420106,False,False,ok
2023-24,2023-10-07,Pennsylvania,2.1875,-0.38077249551779246,0.34713076199435555,-0.13217784651558362,0.9395758415928761,0.9395758415928761,False,False,ok
2023-24,2023-10-07,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-10-07,Wyoming,2.1875,1.0986122886681096,0.0891089108910891,0.09789614453478203,1.0447525232159003,1.0447525232159003,False,False,ok
2023-24,2023-10-14,Alaska,2.1875,0.3364722366212125,0.2164948453608247,0.07284450483552021,1.0333003450676663,1.0333003450676663,False,False,ok
2023-24,2023-10-14,California,2.1875,0.41284521540578734,0.35389360061680797,0.14610327977737575,1.0667900707553717,1.0667900707553717,False,False,ok
2023-24,2023-10-14,New York,2.1875,-0.3528213746227422,0.3118651393991787,-0.11003268717973134,0.9496993430035514,0.9496993430035514,False,False,ok
2023-24,2023-10-14,Pennsylvania,2.1875,0.02409755157906046,0.33602185508000515,0.008097303984482003,1.0037016246786203,1.0037016246786203,False,False,ok
2023-24,2023-10-14,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-10-14,Wyoming,2.1875,-0.4054651081081644,0.12676056338028172,-0.05139698553483775,0.9765042351840741,0.9765042351840741,False,False,ok
