model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,02,2023-10-14,0,3.589821562636568,21.0,109.52139495141898,1.0,77.78340988541159,1.0,55.907049577384,1.0,38.97247101099457,1.0,29.589729039370894,1.0,23.125893720311808,1.0,17.91794204352474,1.0,14.160533168906518,1.0,9.768062602689417,1.0,6.307061923721401,0.0,3.15906172258925,0.0,6.7974651878
adaptive,2023-24,02,2023-10-14,1,6.9097036604298,30.0,230.44689650145978,1.0,152.41881956969104,1.0,110.3698964913055,1.0,72.66579396719085,1.0,52.46782018560021,1.0,40.01478181946385,1.0,30.484132631320108,1.0,22.38006970680295,1.0,16.848329187142674,0.0,10.977231660073794,0.0,5.265102870982087,0.0,12.6547186274
adaptive,2023-24,02,2023-10-14,2,8.670266760712794,33.0,292.17427836550763,1.0,208.4980736908906,1.0,148.47590096169483,1.0,97.93644416099535,1.0,70.98587436875323,1.0,54.65014181746172,1.0,41.082551088936405,1.0,30.556032520791263,1.0,22.113432058124758,1.0,14.052864258205501,0.0,6.754439597560996,0.0,14.2374735947
adaptive,2023-24,02,2023-10-14,3,10.565080440102575,39.0,288.5330976715582,1.0,200.61225365082436,1.0,149.5531613221347,1.0,102.1466828708715,1.0,75.77432788199263,1.0,58.87918511381503,1.0,45.27988469044594,1.0,34.67224829828206,1.0,24.445825099606168,0.0,15.795308612946258,0.0,7.818169937484544,0.0,18.2861741183
adaptive,2023-24,06,2023-10-14,0,14.766803384509865,50.0,327.14075579243547,1.0,232.93945768914276,1.0,176.6065390827348,1.0,123.91402622092006,1.0,94.9315341181946,1.0,74.74407996582136,1.0,59.434142676065974,1.0,45.49639650093473,0.0,33.45013783031498,0.0,21.63634243959344,0.0,10.83247535736541,0.0,15.3693258892
adaptive,2023-24,06,2023-10-14,1,16.888439432456355,76.0,738.8781190515,1.0,486.1102458877642,1.0,338.5830117320137,1.0,222.42581277274056,1.0,164.03540006747096,1.0,125.49078614964193,1.0,96.2817238561908,1.0,72.57758489434826,1.0,52.07026323071118,1.0,33.45336678347142,1.0,16.341689930244627,1.0,27.8272832645
adaptive,2023-24,06,2023-10-14,2,24.358360510535718,97.0,1107.725035717213,1.0,731.3150267906367,1.0,497.869357172837,1.0,309.4378600019608,1.0,223.1489923617275,1.0,167.78596727866955,1.0,128.68617303409053,1.0,96.22307689215916,1.0,69.39650214746835,1.0,44.35450200116655,1.0,21.636342439593435,0.0,39.0731684588
adaptive,2023-24,06,2023-10-14,3,79.58602544090107,231.0,1176.3716822263486,1.0,818.9355613386116,1.0,577.3764422272758,1.0,363.16831075448874,1.0,253.50710122373118,1.0,189.25379348008988,0.0,138.69859698698335,0.0,103.85444371004851,0.0,74.90591902233234,0.0,48.79901103640876,0.0,24.41740673457221,0.0,99.0281349503
adaptive,2023-24,36,2023-10-14,0,6.408451195158791,33.0,113.02883662244137,1.0,80.36823660239362,1.0,60.13536162123787,1.0,41.76885907236524,1.0,32.07908162076913,1.0,24.95548763968487,1.0,19.597578838959315,0.0,15.107885196387425,0.0,10.763960042537315,0.0,6.975795340326833,0.0,3.554796516797044,0.0,11.0543340595
adaptive,2023-24,36,2023-10-14,1,15.73151585939128,47.0,190.1983383603001,1.0,123.6434409267594,1.0,84.54793944851198,1.0,54.75638098185059,1.0,40.10853379557556,0.0,31.10446952197411,0.0,23.845520750160738,0.0,17.797664915626186,0.0,13.175599505761497,0.0,8.468873500532446,0.0,4.321798377817625,0.0,16.0702772067
