season,asof,location,replicate,Reff__FREE_med,Reff__FREE_q10,Reff__FREE_q90,eps1__FREE_med,eps1__FREE_q10,eps1__FREE_q90,phi1__FREE_med,phi1__FREE_q10,phi1__FREE_q90,mult__FREE_med,mult__FREE_q10,mult__FREE_q90,r__FREE_med,r__FREE_q10,r__FREE_q90,sbeta__FREE_med,sbeta__FREE_q10,sbeta__FREE_q90,sbeta_lo_frac,sbeta_hi_frac,sigma_first,sigma_last,absinc_last,month,stable,turn
2023-24,2023-09-23,Alaska,0,1.4111785292625427,0.8028369545936584,2.298879861831665,0.4946865737438202,0.1635344609618187,0.8263852894306183,24.329391479492188,10.416048049926758,41.23680572509766,0.015482595656067133,0.003989517316222191,0.03799411728978158,10.341421127319336,3.4419595479965213,22.015896987915045,0.104558065533638,0.014315447956323625,0.26070117950439453,0.0727,0.0013,0.11083363,0.12851,0.08970824,09,True,False
2023-24,2023-09-23,Alaska,1,1.4432841539382935,0.8869451582431793,2.2644156932830812,0.47709688544273376,0.14639992564916612,0.8284240543842317,24.2992525100708,11.536500930786133,40.58753776550293,0.01650879718363285,0.003686498384922743,0.038299642503261566,10.16614055633545,3.5608028173446655,22.946484184265138,0.08803804963827133,0.009730416815727951,0.2405817225575448,0.0839,0.0009,0.11221535,0.11480223,0.08286231,09,True,False
2023-24,2023-09-23,Alaska,2,1.3650223016738892,0.8420453071594238,2.1859798431396484,0.4894271641969681,0.1326138973236084,0.8036940693855286,23.46225357055664,10.265192604064941,40.674905395507814,0.016881045885384083,0.0035420693457126617,0.03889590539038182,10.504281044006348,3.487356114387512,24.140880584716797,0.09757070243358612,0.013494430109858513,0.2617049217224121,0.0725,0.0008,0.11025014,0.12574219,0.09140469,09,True,False
2023-24,2023-09-23,California,0,1.3963232636451721,0.9074023365974426,2.0945306777954102,0.4149240553379059,0.1600456774234772,0.7293184995651245,26.01933479309082,11.565015316009525,40.15906257629395,0.0031900162575766444,0.0020000000949949026,0.00575719801709056,23.873411178588867,10.707151031494142,35.63544464111328,0.06883151084184647,0.007898364868015052,0.1788654923439026,0.0846,0.0,0.10926701,0.08927576,0.06710436,09,True,False
2023-24,2023-09-23,California,1,1.1857810020446777,0.8222901821136475,1.9418729901313783,0.35736601054668427,0.09381698891520503,0.6971540033817293,22.33539390563965,7.284827709197999,39.1511116027832,0.003302331198938191,0.0020000000949949026,0.005699832923710346,20.847506523132324,9.793067073822023,33.063358306884766,0.07541276514530182,0.005709528457373381,0.19690220057964325,0.096,0.0,0.1107738,0.09627885,0.07340322,09,True,False
2023-24,2023-09-23,California,2,1.2092108130455017,0.8487114310264587,2.027858090400696,0.36252591013908386,0.09219270199537279,0.7426307559013366,22.506467819213867,7.205755281448365,38.79304695129395,0.0034303198335692286,0.0020000000949949026,0.005935241794213652,19.410901069641113,8.691694736480713,30.526546478271484,0.07178307324647903,0.0083993841893971,0.18284282088279724,0.0845,0.0,0.11002517,0.09282222,0.06777812,09,True,False
2023-24,2023-09-23,New York,0,1.2559958696365356,0.8337583601474763,2.0380711555480957,0.41016604006290436,0.10183237791061402,0.7846819162368774,26.543447494506836,12.663581848144531,40.88243560791017,0.0042906817980110645,0.0021479849237948656,0.007569557568058372,15.822667121887207,6.266942024230957,30.16494216918946,0.08377670496702194,0.008691227994859219,0.21514768451452262,0.0856,0.0001,0.11064904,0.11198257,0.08078417,09,True,False
2023-24,2023-09-23,New York,1,1.2409641742706299,0.8074771881103515,2.0814425945281982,0.3977627754211426,0.09068284556269647,0.8061942458152771,26.462392807006836,10.694665908813477,41.36177444458008,0.003693446982651949,0.002079375321045518,0.006223906297236681,14.943950653076172,6.000646686553956,28.253598785400396,0.07764258980751038,0.006065821880474688,0.19533044993877433,0.0961,0.0004,0.11186284,0.10176675,0.07502792,09,True,False
2023-24,2023-09-23,New York,2,1.2717044353485107,0.873724502325058,2.0858054161071777,0.42041683197021484,0.09814237058162689,0.7993130087852478,26.127166748046875,14.078567504882812,39.44689102172852,0.004214888904243708,0.0020000000949949026,0.008027762174606323,16.355917930603027,6.658520889282227,30.637218475341797,0.07928293198347092,0.007286145351827145,0.2071714371442795,0.0907,0.0005,0.11015778,0.10629599,0.07630857,09,True,False
2023-24,2023-09-23,Pennsylvania,0,1.4193800687789917,0.799217700958252,2.330618405342102,0.46180301904678345,0.14692211151123047,0.7783349752426147,25.10260009765625,8.906699180603027,44.702457427978516,0.01479518972337246,0.003741983626969159,0.04216795042157173,13.237810611724854,5.120197296142578,28.476301193237305,0.09674801304936409,0.012905942276120186,0.2301721990108492,0.0731,0.0,0.11241336,0.11511294,0.08253299,09,True,False
