model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,02,2023-10-14,3,10.827599566144547,39.0,295.1469802697241,1.0,217.40094348715738,1.0,162.589740008234,1.0,113.13028626285391,1.0,85.08179710684266,1.0,65.23177744108152,1.0,49.69323014788988,1.0,37.29662051145289,1.0,26.244696303856216,0.0,17.540764946923893,0.0,8.284827516343135,0.0,18.2861741183
adaptive,2023-24,06,2023-10-14,0,15.225678388728657,50.0,326.9881623220843,1.0,240.24032925788381,1.0,181.77506409147196,1.0,127.28996694941941,1.0,97.50374713945041,1.0,76.80878725219216,1.0,59.39924927017452,0.0,46.15334889148254,0.0,33.421616146318826,0.0,22.24727580769614,0.0,10.781166498812524,0.0,15.3693258892
adaptive,2023-24,06,2023-10-14,1,17.286713977336348,76.0,784.8904834465458,1.0,505.20709361653167,1.0,357.06513922837513,1.0,231.7026483474892,1.0,168.07158247402015,1.0,126.95958689553524,1.0,97.03049848931269,1.0,72.76402135023437,1.0,52.24486837072127,1.0,33.5528929889218,1.0,16.471227409634054,1.0,27.8272832645
adaptive,2023-24,06,2023-10-14,2,24.814631392617304,97.0,1182.7240121294876,1.0,768.195590009225,1.0,529.3318967051102,1.0,328.86714921393957,1.0,230.7716617590059,1.0,173.46586297850558,1.0,130.3190134527803,1.0,98.10861513919394,1.0,69.42095267142905,1.0,44.32968359298087,1.0,22.59450275259526,0.0,39.0731684588
adaptive,2023-24,06,2023-10-14,3,77.78193917837024,231.0,1290.0615471334781,1.0,839.5440616092129,1.0,596.2622319096791,1.0,385.2869678923517,1.0,271.68539577007556,1.0,198.4281622625683,0.0,147.58736612627632,0.0,108.32188618905494,0.0,76.5462821415689,0.0,48.993541453384,0.0,23.85421903474395,0.0,99.0281349503
adaptive,2023-24,36,2023-10-14,0,6.608945436797074,33.0,118.96754921822713,1.0,82.86195834570597,1.0,59.91238366395229,1.0,42.138118477220566,1.0,31.80575740182158,1.0,25.55086950374436,1.0,19.970377652916156,0.0,14.911135319337317,0.0,10.59768596477438,0.0,7.048515725170859,0.0,3.606973893742243,0.0,11.0543340595
adaptive,2023-24,36,2023-10-14,1,15.893797051466594,47.0,195.5779123924377,1.0,124.5672482061107,1.0,86.35613420922255,1.0,55.0062878603731,1.0,41.20127037817349,0.0,30.868767166634623,0.0,23.722490656500337,0.0,18.37631030252502,0.0,13.156884105297635,0.0,7.988663070214939,0.0,4.2974096477770996,0.0,16.0702772067
adaptive,2023-24,36,2023-10-14,2,22.58218573909936,56.0,279.80773928677365,1.0,175.42689966249407,1.0,113.14920330555964,1.0,67.53079402327482,1.0,48.021362417786044,0.0,35.77769325977639,0.0,26.48757546665154,0.0,20.17388896145637,0.0,14.136420036606864,0.0,8.906030080339267,0.0,4.441767008849647,0.0,21.1788294495
adaptive,2023-24,36,2023-10-14,3,44.27778299923627,88.0,364.90063817213803,1.0,224.6862489094101,1.0,141.2172227301946,1.0,81.05793083946486,0.0,55.25103552499703,0.0,40.3359613470332,0.0,30.52725367002649,0.0,22.050244792918022,0.0,15.716082245820887,0.0,10.49005755659947,0.0,4.500707752107482,0.0,31.8983947561
adaptive,2023-24,42,2023-10-14,0,5.32529196709679,38.0,171.75077876614262,1.0,122.83926748365464,1.0,92.4389614122953,1.0,66.1485575095134,1.0,51.74614347706546,1.0,40.81115952079774,1.0,32.463434893466065,1.0,24.62476398527279,1.0,17.795740282765728,1.0,11.482697250756196,1.0,6.08865760201671,1.0,8.6632759954
