state,asof,horizon,target,actual,usable,excluded,anchor_scale_max,median_rescaled,width_rel,covered
New York,2026-01-07,1,2026-01-10,449.0,True,False,1.0113797543666794,524.2699025552695,1.5877407827754015,True
New York,2026-01-07,2,2026-01-17,400.0,True,False,1.0113797543666794,570.9378673660606,2.786377671649904,True
New York,2026-01-07,3,2026-01-24,328.0,True,False,1.0113797543666794,609.662348804802,5.092263079635326,True
New York,2026-01-07,4,2026-01-31,345.0,True,False,1.0113797543666794,638.4574760284817,6.622412436434488,True
New York,2026-02-04,1,2026-02-07,337.0,True,False,1.0062109595034119,261.61484947088707,0.9905920319052129,True
New York,2026-02-04,2,2026-02-14,327.0,True,False,1.0062109595034119,221.8425186270729,1.1941676233929075,True
New York,2026-02-04,3,2026-02-21,411.0,True,False,1.0062109595034119,188.16144942713802,1.0970029538959152,True
New York,2026-02-04,4,2026-02-28,401.0,True,False,1.0062109595034119,156.1850915894639,1.2468482978224271,True
New York,2026-03-04,1,2026-03-07,325.0,True,False,1.013758097174808,359.8841244970568,1.4395731917989472,True
New York,2026-03-04,2,2026-03-14,303.0,True,False,1.013758097174808,355.5614929910364,2.1722563778101063,True
New York,2026-03-04,3,2026-03-21,301.0,True,False,1.013758097174808,347.29738601184255,2.960339920444273,True
New York,2026-03-04,4,2026-03-28,,False,True,,,,
Pennsylvania,2026-01-07,1,2026-01-10,873.0,True,False,1.0468953138341484,1064.6925341693288,1.5871474967958312,True
Pennsylvania,2026-01-07,2,2026-01-17,882.0,True,False,1.0468953138341484,1243.4730546150895,2.491532038450164,True
Pennsylvania,2026-01-07,3,2026-01-24,734.0,True,False,1.0468953138341484,1374.7977353190602,3.9832156113081743,True
Pennsylvania,2026-01-07,4,2026-01-31,694.0,True,False,1.0468953138341484,1435.3042863504743,4.8851786151773515,True
Pennsylvania,2026-02-04,1,2026-02-07,612.0,True,False,0.9732224888579869,592.6749487517465,1.225718291325579,True
Pennsylvania,2026-02-04,2,2026-02-14,524.0,True,False,0.9732224888579869,514.7641603682332,1.6999927010932443,True
Pennsylvania,2026-02-04,3,2026-02-21,549.0,True,False,0.9732224888579869,444.7479223911963,1.8421524861579752,True
Pennsylvania,2026-02-04,4,2026-02-28,501.0,True,False,0.9732224888579869,374.112986438623,2.20544802516371,True
Pennsylvania,2026-03-04,1,2026-03-07,406.0,True,False,1.0359664686696688,440.28574918460924,1.380093424619502,True
Pennsylvania,2026-03-04,2,2026-03-14,384.0,True,False,1.0359664686696688,393.66725809447416,1.835993687870887,True
Pennsylvania,2026-03-04,3,2026-03-21,446.0,True,False,1.0359664686696688,347.6164017082698,1.9207679989872688,True
Pennsylvania,2026-03-04,4,2026-03-28,,False,True,,,,
North Carolina,2026-01-07,1,2026-01-10,222.0,True,False,0.9840653832700934,265.6976534829252,1.8463146984535452,True
North Carolina,2026-01-07,2,2026-01-17,204.0,True,False,0.9840653832700934,326.709707245671,3.6923080638265735,True
North Carolina,2026-01-07,3,2026-01-24,173.0,True,False,0.9840653832700934,392.20147572793326,7.274702529356019,True
North Carolina,2026-01-07,4,2026-01-31,170.0,True,False,0.9840653832700934,456.59242425853546,10.600432325745068,True
North Carolina,2026-02-04,1,2026-02-07,158.0,True,False,1.0132417179819284,142.8670822354519,1.3065800442764672,True
North Carolina,2026-02-04,2,2026-02-14,177.0,True,False,1.0132417179819284,122.4940717590695,1.4852233683777452,True
North Carolina,2026-02-04,3,2026-02-21,215.0,True,False,1.0132417179819284,103.3506552341567,1.4790411203127036,True
North Carolina,2026-02-04,4,2026-02-28,202.0,True,False,1.0132417179819284,86.25336679986869,1.891695415078861,True
North Carolina,2026-03-04,1,2026-03-07,238.0,True,False,1.0032605454920938,200.76280011767992,1.2452830907775079,True
North Carolina,2026-03-04,2,2026-03-14,196.0,True,False,1.0032605454920938,202.83644167153074,2.2627139287065274,True
North Carolina,2026-03-04,3,2026-03-21,207.0,True,False,1.0032605454920938,200.76280011767992,3.022350231769214,True
North Carolina,2026-03-04,4,2026-03-28,,False,True,,,,
