location,fips,asof,horizon,wis_2s,base_wis,rel_2s,season,wis_pf,rel_pf
Iowa,19,2023-10-07,2,6.4827442438494804,3.1140151903040816,2.0817959604161227,2023-24,6.510196710699944,2.090611738494515
Iowa,19,2023-10-07,3,10.800357808391754,4.664227769712477,2.3155725538372525,2023-24,11.505849768507357,2.4668284519082624
Kansas,20,2023-10-07,0,4.851825646888013,2.1488007009200545,2.2579225913369263,2023-24,4.697295497009639,2.1860079880830234
Kansas,20,2023-10-07,1,5.609038169289877,2.827212494255378,1.9839464421888697,2023-24,5.334055118432712,1.8866834839160465
Kansas,20,2023-10-07,2,10.46013656009659,3.3520920463987256,3.1204801107219877,2023-24,9.73873129411865,2.9052696523000687
Kansas,20,2023-10-07,3,13.967135012700231,3.9296217286520716,3.554320486081799,2023-24,13.167432081196427,3.350814147119724
Kentucky,21,2023-10-07,0,6.749562463956418,6.572480034148166,1.0269430152527201,2023-24,7.204827444203154,1.0962113854693427
Kentucky,21,2023-10-07,1,5.831015088390132,7.474514210163839,0.78011960703227,2023-24,6.239057186811226,0.8347107265282017
Kentucky,21,2023-10-07,2,8.322435221021019,9.749510607562588,0.8536259465747335,2023-24,8.566192119613351,0.8786279090735745
Kentucky,21,2023-10-07,3,9.037593407738404,11.124530122518616,0.8124022595295265,2023-24,8.514991669509492,0.7654248382386222
Louisiana,22,2023-10-07,0,5.164263619160457,6.605320506835502,0.7818339191589916,2023-24,5.331974046769059,0.8072241220166798
Louisiana,22,2023-10-07,1,7.7984358531731655,8.076988074750313,0.9655128596205389,2023-24,7.891332001054242,0.9770141948981632
Louisiana,22,2023-10-07,2,15.236464950886347,15.98786267988767,0.953001990069219,2023-24,15.390184261968956,0.9626167405934392
Louisiana,22,2023-10-07,3,17.108067715231382,12.426833021808472,1.3767037575227394,2023-24,16.754597882920528,1.3482596775475333
Maine,23,2023-10-07,0,4.8147048948042706,1.986493775850801,2.423720100880843,2023-24,4.890067338106627,2.461657518162747
Maine,23,2023-10-07,1,14.553167145369944,1.7735612215469978,8.205618711417173,2023-24,15.622301581932694,8.80843660322369
Maine,23,2023-10-07,2,19.259787523653646,2.5665139247914213,7.504259898071223,2023-24,23.12238525204137,9.009257666085139
Maine,23,2023-10-07,3,19.172024638620357,2.465449470342529,7.77627968824555,2023-24,23.254413569957894,9.432119315236715
Maryland,24,2023-10-07,0,0.681536698016664,2.710772057177095,0.2514179295201947,2023-24,0.6872556015513486,0.2535276249922072
Maryland,24,2023-10-07,1,3.5653720598523684,4.144908890436727,0.8601810447700103,2023-24,3.6450687395034245,0.8794086518797674
Maryland,24,2023-10-07,2,4.069500278279655,5.015156949047752,0.8114402639088588,2023-24,4.0820392922377975,0.813940487548026
Maryland,24,2023-10-07,3,6.797681127776864,6.721478458067189,1.0113371887130302,2023-24,6.900881031184664,1.026690939238547
Massachusetts,25,2023-10-07,0,3.8693540526830215,5.479365769766396,0.7061682346582943,2023-24,4.018801876701504,0.733442892036178
Massachusetts,25,2023-10-07,1,4.6686474855599975,7.250861466005967,0.6438748702409915,2023-24,4.011041483556745,0.5531813705670162
Massachusetts,25,2023-10-07,2,9.455155458635407,10.883144801730623,0.8687889053108859,2023-24,9.272002755908956,0.8519598815256537
Massachusetts,25,2023-10-07,3,12.861151059380024,13.235813712050174,0.9716932664042371,2023-24,12.374305827156444,0.9349108484271432
Michigan,26,2023-10-07,0,4.832164261858154,6.886102314131831,0.7017270498495886,2023-24,4.556335432710616,0.6616711783907118
Michigan,26,2023-10-07,1,11.36853673549599,9.363316755450168,1.214157016409664,2023-24,10.482282276833333,1.119505251248906
Michigan,26,2023-10-07,2,27.445183974999004,10.674745261626533,2.571038774448199,2023-24,25.946999260826967,2.4306902530124983
Michigan,26,2023-10-07,3,38.3141136234985,16.13630485637465,2.3744044231020154,2023-24,37.628098678327085,2.331890666001027
Minnesota,27,2023-10-07,0,1.8090405456392158,2.8452775084272592,0.6358046061521682,2023-24,1.810811203627854,0.6364269208414713
Minnesota,27,2023-10-07,1,2.7599157607869573,3.2507318464489003,0.8490136655848404,2023-24,2.9302928183045016,0.9014255732922276
Minnesota,27,2023-10-07,2,6.467790575102362,4.103007729881646,1.5763534950222797,2023-24,7.691696976878287,1.8746484245839234
Minnesota,27,2023-10-07,3,12.79991353900907,5.7334926660136185,2.2324810171787646,2023-24,15.769942855385638,2.7504949904034954
Mississippi,28,2023-10-07,0,11.923396343868463,3.574905392140877,3.335304025130575,2023-24,11.44998410539894,3.2028775168626136
Mississippi,28,2023-10-07,1,26.339355051381464,4.5625186331428536,5.772985749591956,2023-24,24.706808360828127,5.4151687581841275
Mississippi,28,2023-10-07,2,51.141843121224845,5.591886821433431,9.145722142515588,2023-24,47.902964073037566,8.566511734362688
Mississippi,28,2023-10-07,3,70.910259816458,7.416225450515389,9.561502719895078,2023-24,67.90043955024358,9.155660113531857
Missouri,29,2023-10-07,0,5.350755313177041,7.890389657374836,0.6781357506439369,2023-24,5.275255264919968,0.668567142307021
Missouri,29,2023-10-07,1,16.612163210879377,7.04058242173726,2.359487073056711,2023-24,15.745244094039267,2.2363553397836844
Missouri,29,2023-10-07,2,31.181129578271456,8.807159560726038,3.540429733704174,2023-24,29.438850741958664,3.3426044502742953
Missouri,29,2023-10-07,3,45.79702798519977,11.674297948696871,3.9228935381344967,2023-24,43.79362047531814,3.7512851451771065
Nebraska,31,2023-10-07,0,2.1252801418050162,3.739633083287355,0.5683124773130874,2023-24,2.1149397850792497,0.5655474047791059
Nebraska,31,2023-10-07,1,2.6575250314841945,3.3371063045413085,0.7963561208307016,2023-24,2.5204577784784554,0.7552824358781993
Nebraska,31,2023-10-07,2,4.000407659774007,3.097673235471482,1.2914233864196214,2023-24,3.697077178179034,1.193501346702348
Nebraska,31,2023-10-07,3,5.297126707588283,3.019319371345885,1.7544108642031622,2023-24,4.857914487859504,1.6089435698529801
Nevada,32,2023-10-07,0,1.2451441293573708,3.1869543503478526,0.39070033407333393,2023-24,1.235293076051007,0.38760927840594145
Nevada,32,2023-10-07,1,1.972481579067374,4.31291274860575,0.457343260585326,2023-24,1.9596881296821353,0.4543769475317233
Nevada,32,2023-10-07,2,2.912770977646125,5.366402164782516,0.5427791075297038,2023-24,2.7427441606908194,0.5110955303891158
Nevada,32,2023-10-07,3,4.468295760770211,6.470235192373663,0.6905924789313534,2023-24,4.312032426897893,0.6664413732564776
New Hampshire,33,2023-10-07,2,2.2755626554253534,1.6179991331869834,1.4064053612582368,2023-24,2.099051059186621,1.29731284531167
New Hampshire,33,2023-10-07,3,3.071718124333066,1.9412326917834404,1.5823544170333497,2023-24,3.0545448786597182,1.5735078497227764
New Jersey,34,2023-10-07,0,2.803774486626382,5.313039731549489,0.5277157010472219,2023-24,2.5869718918645823,0.48690994657969944
New Jersey,34,2023-10-07,1,9.938052029903472,12.44830695176517,0.7983456761157594,2023-24,10.419315699875801,0.8370066500005723
