Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.140280398549407437e+00 3.489968038827873792e-02 1.009756271619487222e+01 5.347894930476664310e-01 3.421677846416112390e-01 3.539652244987782836e+01
1.122845223048819063e+00 3.795302339628658927e-02 5.883100127083133124e+00 5.825403750184298124e-01 3.358386650205967827e-01 3.563458530092618304e+01
1.175136996794239774e+00 4.606731602871609599e-02 1.070930323892350344e+01 5.726192296323920905e-01 3.595893529613389261e-01 3.631506735826718568e+01
1.175136996794239774e+00 4.606731602871609599e-02 1.070930323892350344e+01 5.726192296323920905e-01 3.595893529613389261e-01 3.631506735826718568e+01
1.194194386816555431e+00 4.182173093928984176e-02 1.281404546775813991e+01 5.335800905711844955e-01 3.765651135384117110e-01 3.087210589801559379e+01
1.141676554386132247e+00 3.050491611535012526e-02 1.055991224366422898e+01 5.533568340823273868e-01 3.746438466619640417e-01 3.303418174439924826e+01
1.164044729801222644e+00 8.345581183709748288e-03 1.366391091176015493e+01 5.198776241667975029e-01 3.201014175064682554e-01 2.994650060424757498e+01
1.161936208224469746e+00 2.971142254095745366e-02 1.619676804387290758e+01 5.592418350861003695e-01 3.720964278859698049e-01 3.193459638392634403e+01
1.161936208224469746e+00 2.971142254095745366e-02 1.619676804387290758e+01 5.592418350861003695e-01 3.720964278859698049e-01 3.193459638392634403e+01
1.096611709977669769e+00 1.541215606786019640e-02 1.375057558451443107e+01 4.490006691442869347e-01 3.037314943669708334e-01 2.979923925418089325e+01
1.131198166035892516e+00 1.047091980261958405e-03 2.007156365885452587e+01 4.626707010747432292e-01 3.465132502620136279e-01 2.932269551573096322e+01
1.142175202615760998e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.539134832482979220e-01 3.527048417455405649e-01 3.093671308081203009e+01
1.145429080787604637e+00 2.236813817504994945e-02 6.924084366233238974e+00 5.439573111615102485e-01 2.558093726497075449e-01 2.895021114667310158e+01
1.108299128591767158e+00 1.277001557018431384e-02 7.993504088902813720e+00 5.380793120362507009e-01 3.055438959444634062e-01 2.991165443534316637e+01
1.171477788882939741e+00 3.804416157567476475e-02 1.071377886497048681e+00 6.089236930389226865e-01 3.610709698222717701e-01 2.988771681630542432e+01
1.158584782339497021e+00 4.243252145900040795e-02 4.342249299989138223e-01 5.931190302085305177e-01 3.480920598600751870e-01 2.985731163372115660e+01
1.158584782339497021e+00 4.243252145900040795e-02 4.342249299989138223e-01 5.931190302085305177e-01 3.480920598600751870e-01 2.985731163372115660e+01
1.153477383755275198e+00 1.802766604300871933e-02 2.587122134864807244e+00 6.007444884980867039e-01 3.873258446262109467e-01 2.801436919647129997e+01
1.110104951529687245e+00 3.238358412479502152e-03 0.000000000000000000e+00 5.663084926964148114e-01 4.129119780603835443e-01 3.125590897211318975e+01
1.110104951529687245e+00 3.238358412479502152e-03 0.000000000000000000e+00 5.663084926964148114e-01 4.129119780603835443e-01 3.125590897211318975e+01
1.069531664201139209e+00 1.825483716261426873e-02 0.000000000000000000e+00 5.626762140298661174e-01 3.872247249989206885e-01 2.980200629618702379e+01
1.106843357182987209e+00 3.100023495845861260e-02 7.493710824614670862e+00 5.109864785304082391e-01 3.567568498932663368e-01 3.489286183012630715e+01
1.075396560012615632e+00 0.000000000000000000e+00 1.050927499112680685e+01 5.082949469480587679e-01 3.163651637373673942e-01 3.359454937636296279e+01
1.145629692456710425e+00 3.792117826199457864e-02 8.455936817825321583e+00 5.843273759815195145e-01 3.547884262710510050e-01 3.264878372828539455e+01
1.166455997286351076e+00 7.819240483208847459e-02 1.134969064484869783e+01 5.776983907290563769e-01 3.702197760661662951e-01 3.104301412984623454e+01
1.125618914035775298e+00 4.497512424094439465e-02 0.000000000000000000e+00 5.323098546869203807e-01 3.454631074039514194e-01 3.234135494642805497e+01
1.142950911021066496e+00 8.975641505609896487e-02 9.875506210620072167e+00 5.476604057214298216e-01 3.657347323086918012e-01 2.926419988245252313e+01
1.098450725831908059e+00 6.861830216800435256e-02 4.833679816752445291e+00 5.332029050658917413e-01 3.337248159741411646e-01 2.926194161308242769e+01
1.167445844641413544e+00 1.107151883592881816e-02 8.678387804093683044e+00 5.191551043832265400e-01 3.388348863175847936e-01 2.838421562085825656e+01
1.133145494770591233e+00 4.886224866024369007e-02 6.616067859756210368e+00 5.423642463053887086e-01 3.616116844644740036e-01 2.614328496621773468e+01
1.110786501265041304e+00 6.295314590634311369e-02 4.746136050921830218e+00 5.013425623813172471e-01 3.369522587155487359e-01 2.984205456501902276e+01
1.133673522603443562e+00 5.219339441889847553e-02 5.043050517860474535e+00 5.302345913444651559e-01 3.386268800506950782e-01 3.452641244003681464e+01
1.143021364564731357e+00 5.632381321515771144e-02 0.000000000000000000e+00 5.501421944453033230e-01 3.513637090031594967e-01 3.507761388812733827e+01
1.115948759089858910e+00 1.541202940242132613e-02 1.688565313487805852e+01 6.007460686236870684e-01 4.317718809547291814e-01 3.094734311976433361e+01
1.160762681519219353e+00 3.463019244507649363e-02 1.379649260610798933e+01 5.599909090682880786e-01 3.639658238300637061e-01 3.028815456047933807e+01
1.122126781170972976e+00 3.748049024907407212e-02 9.559463399734688949e-01 5.624278353696658961e-01 3.838873538858150747e-01 2.889920639736973840e+01
1.126290608199424614e+00 7.150641795725422301e-04 8.743423675469717438e+00 5.956344282983727645e-01 4.055695712203327141e-01 2.964853106322527410e+01
1.126290608199424614e+00 7.150641795725422301e-04 8.743423675469717438e+00 5.956344282983727645e-01 4.055695712203327141e-01 2.964853106322527410e+01
1.095086130220731091e+00 1.679739468095330368e-01 3.742961994893768463e+00 5.071033034975062082e-01 3.994621586654814038e-01 2.168018183707379976e+01
1.132222780344449120e+00 6.656027151472898584e-02 1.192876470717824944e+01 4.919571145492259712e-01 3.489078395446755243e-01 2.665733641464674264e+01
1.118579467053192333e+00 2.874361947562827785e-02 1.829842065043559884e+01 4.672144991256181878e-01 2.499962634370027914e-01 2.216445090685543207e+01
1.186802801398076035e+00 1.158029252856410535e-01 2.098468620982384181e+01 5.044074853825747384e-01 3.980337817882419471e-01 2.644405573111357555e+01
1.126980789015279427e+00 1.257537911416489185e-01 2.651667189030265348e+01 5.186267884972310949e-01 3.886651815995316173e-01 2.501755432048691929e+01
9.994356105603692253e-01 4.840872146069017529e-02 5.200000000000000000e+01 4.913381788727413380e-01 3.752282982479790974e-01 2.396117406217496182e+01
1.103769322822751864e+00 3.835377988243354047e-02 2.368514267779712057e+01 4.992705739571883239e-01 4.275297952775151678e-01 2.568162429323901108e+01
1.067742529138731022e+00 6.504784497829221857e-03 2.654891687124672472e+01 5.656106902904692868e-01 3.998031508895992792e-01 2.824185559081974617e+01
1.064377209516474077e+00 2.262613696774216573e-02 4.771302359740902688e+01 4.921916469065862887e-01 3.704045964182314243e-01 2.282961300376287284e+01
1.024970338029862482e+00 7.947736775521480057e-02 4.994484203911043352e+01 5.394695577504116102e-01 3.682667980445357703e-01 2.735523824313165875e+01
1.067883588006534934e+00 2.209558175848436168e-02 4.171423969061386572e+01 4.741163133140967045e-01 3.743813436627626556e-01 3.353522589953720257e+01
1.150094436376505769e+00 4.398872980847585296e-03 3.755995236561125949e+01 4.660754684580146745e-01 3.741464513714625739e-01 3.120608200163426105e+01
1.089817984367384751e+00 2.138194199275223611e-02 2.874441862312115603e+01 5.284134027343450057e-01 3.788658459402891032e-01 2.763556458539943250e+01
1.030851287628059554e+00 5.357518238254632692e-02 2.793116576679268448e+01 5.508402820576239201e-01 3.826153168546803651e-01 2.519576734367711879e+01
1.030851287628059554e+00 5.357518238254632692e-02 2.793116576679268448e+01 5.508402820576239201e-01 3.826153168546803651e-01 2.519576734367711879e+01
