Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.278673812566324175e+00 1.356203322896852026e-01 1.908162472108282515e+01 5.454730116775718951e-01 4.147313176182235162e-01 3.057492428683256591e+01
1.320858008907605408e+00 1.253591428152922571e-01 1.919284252973750071e+01 5.718435795031225899e-01 3.910125717650271282e-01 3.420260163776109863e+01
1.145510979921434247e+00 1.052611661708824642e-01 1.428992683948756159e+01 2.700448485239683172e-01 3.162170931395005824e-01 2.126882022758105606e+01
1.074124649199076353e+00 3.728025460755764880e-02 4.014204288214700256e+01 3.205976064116494162e-01 5.034479748396861742e-01 2.454497889105505237e+01
1.074124649199076353e+00 3.728025460755764880e-02 4.014204288214700256e+01 3.205976064116494162e-01 5.034479748396861742e-01 2.454497889105505237e+01
1.010105250908518437e+00 4.280526305347519267e-02 4.984724116611209865e+01 2.395908920337173897e-01 3.987848617975975340e-01 2.764539394750722323e+01
1.010105250908518437e+00 4.280526305347519267e-02 4.984724116611209865e+01 2.395908920337173897e-01 3.987848617975975340e-01 2.764539394750722323e+01
1.043746886574422605e+00 9.528137966093846306e-03 5.200000000000000000e+01 2.885796760388990578e-01 4.110380104286973646e-01 2.846548966612051501e+01
1.069684723993360898e+00 5.362813330171729842e-02 5.200000000000000000e+01 2.751286864397074483e-01 4.323862610259722739e-01 2.647304358305376581e+01
1.069684723993360898e+00 5.362813330171729842e-02 5.200000000000000000e+01 2.751286864397074483e-01 4.323862610259722739e-01 2.647304358305376581e+01
1.144279108746071305e+00 1.271836099616758253e-01 2.771771328877455431e+01 3.830756538358388030e-01 2.278748934788263902e-01 3.254784210142211265e+01
9.742924832175907657e-01 1.020675012861533421e-01 3.689168081911554964e+01 2.260601693219907171e-01 2.357572380109627386e-01 3.332201959680088521e+01
9.742924832175907657e-01 1.020675012861533421e-01 3.689168081911554964e+01 2.260601693219907171e-01 2.357572380109627386e-01 3.332201959680088521e+01
1.033133110335692217e+00 2.263899080577097267e-01 4.147036971074940226e+01 4.259487751485885876e-01 2.483669075313887364e-01 3.577507312525774097e+01
1.008303863236655662e+00 2.280604611063619946e-01 3.611817898219554479e+01 3.816070335872231434e-01 2.824894946571723242e-01 3.665375187809858915e+01
1.030598936969891577e+00 2.169878068340300170e-01 3.394928145946519038e+01 4.008391468923385714e-01 2.305321383232464827e-01 3.306694960705015518e+01
1.030598936969891577e+00 2.169878068340300170e-01 3.394928145946519038e+01 4.008391468923385714e-01 2.305321383232464827e-01 3.306694960705015518e+01
1.017664886680664127e+00 2.282963503657879645e-01 4.211911539576556862e+01 3.924318105832241832e-01 2.448506768524706945e-01 3.151676381415264316e+01
1.030439321057994073e+00 1.849716882360530334e-01 3.803524095556475970e+01 4.144840229096191098e-01 2.502935380266796961e-01 3.072344190706688138e+01
1.030718771777478615e+00 1.988142428604723067e-01 3.786749064059844727e+01 4.017319319764521834e-01 2.220662738019609783e-01 3.234909725523336022e+01
9.825329621860060536e-01 1.990334109569765753e-01 3.531446591407963354e+01 4.051151096761232417e-01 1.962881729897025807e-01 3.346027437882491284e+01
9.825329621860060536e-01 1.990334109569765753e-01 3.531446591407963354e+01 4.051151096761232417e-01 1.962881729897025807e-01 3.346027437882491284e+01
